Año;Mes;Moneda;Partida;Nombre Partida;Subtítulo;Nombre Subtítulo;Ejecución de OCTUBRE;Ejecución a OCTUBRE
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;08;OTROS INGRESOS CORRIENTES;-17;864
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;09;APORTE FISCAL;17.965;142.752
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;11;VENTA DE ACTIVOS FINANCIEROS;681;5.675
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;21;GASTOS EN PERSONAL;7.537;74.990
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;22;BIENES Y SERVICIOS DE CONSUMO;2.829;26.126
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;23;PRESTACIONES DE SEGURIDAD SOCIAL;0;80
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;24;TRANSFERENCIAS CORRIENTES;2.624;27.301
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;26;OTROS GASTOS CORRIENTES;66;100
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;181;1.825
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;31;INICIATIVAS DE INVERSIÓN;56;177
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;33;TRANSFERENCIAS DE CAPITAL;0;150
2023;Octubre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;34;SERVICIO DE LA DEUDA;0;297
2023;Octubre;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;08;OTROS INGRESOS CORRIENTES;5;6.969
2023;Octubre;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;09;APORTE FISCAL;8.154;104.699
2023;Octubre;DOLARES;11;MINISTERIO DE DEFENSA NACIONAL;11;VENTA DE ACTIVOS FINANCIEROS;412;7.750
